"Month Year","Age","Sex","Homicide (Murder)","Other Homicide","Attempted Murder","Conspiracy to Murder","Manslaughter (excl. by driving)","Manslaughter Unlawful Striking Causing Death","Driving Causing Death","Assault","Grievous Assault","Serious Assault","Serious Assault (Other)","Common Assault'","Sexual Offences","Rape and Attempted Rape","Other Sexual Offences","Robbery","Armed Robbery","Unarmed Robbery","Other Offences Against the Person","Kidnapping & Abduction etc.","Extortion","Stalking","Life Endangering Acts","Offences Against the Person","Unlawful Entry","Unlawful Entry With Intent - Dwelling","Unlawful Entry Without Violence - Dwelling","Unlawful Entry With Violence - Dwelling","Unlawful Entry With Intent - Shop","Unlawful Entry With Intent - Other","Arson","Other Property Damage","Unlawful Use of Motor Vehicle","Other Theft (excl. Unlawful Entry)","Stealing from Dwellings","Shop Stealing","Vehicles (steal from/enter with intent)","Other Stealing","Fraud","Fraud by Computer","Fraud by Cheque","Fraud by Credit Card","Identity Fraud","Other Fraud","Handling Stolen Goods","Possess Property Suspected Stolen","Receiving Stolen Property","Possess etc. Tainted Property","Other Handling Stolen Goods","Offences Against Property","Drug Offences","Trafficking Drugs","Possess Drugs","Produce Drugs","Sell Supply Drugs","Other Drug Offences","Prostitution Offences","Found in Places Used for Purpose of Prostitution Offences","Have Interest in Premises Used for Prostitution Offences","Knowingly Participate in Provision Prostitution Offences","Public Soliciting","Procuring Prostitution","Permit Minor to be at a Place Used for Prostitution Offences","Advertising Prostitution","Other Prostitution Offences","Liquor (excl. Drunkenness)","Gaming Racing & Betting Offences","Breach Domestic Violence Protection Order","Trespassing and Vagrancy","Weapons Act Offences","Unlawful Possess Concealable Firearm","Unlawful Possess Firearm - Other","Bomb Possess and/or use of","Possess and/or use other weapons; restricted items","Weapons Act Offences - Other","Good Order Offences","Disobey Move-on Direction","Resist Incite Hinder Obstruct Police","Fare Evasion","Public Nuisance","Stock Related Offences","Traffic and Related Offences","Dangerous Operation of a Vehicle","Drink Driving","Disqualified Driving","Interfere with Mechanism of Motor Vehicle","Miscellaneous Offences","Other Offences"
JUN01,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
JUL01,Adult,Female,0,2,1,0,0,0,1,154,12,58,27,57,5,0,5,11,9,2,25,4,0,7,14,197,39,27,20,7,3,9,1,86,48,333,30,228,26,49,236,2,40,49,0,145,76,16,18,39,3,819,484,2,218,23,27,214,26,10,1,5,5,1,0,2,2,20,0,19,20,34,3,10,0,11,10,278,4,126,6,142,0,347,8,318,21,0,15,1243,37
JUL01,Adult,Male,12,11,6,0,1,0,4,587,26,286,51,224,197,51,146,79,51,28,91,20,1,19,51,977,888,473,443,30,154,261,11,713,280,1034,64,311,354,305,645,5,120,157,0,363,326,64,76,176,10,3897,1736,7,801,111,95,722,25,1,4,6,12,2,0,0,0,55,0,304,109,258,14,57,1,99,87,1252,17,511,20,704,5,1990,79,1626,284,1,67,5801,38
JUL01,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
JUL01,Juvenile,Female,0,0,0,0,0,0,0,35,0,20,1,14,1,1,0,4,1,3,0,0,0,0,0,40,31,16,14,2,2,13,1,53,20,340,12,292,13,23,9,0,1,2,0,6,22,4,14,4,0,476,48,0,21,4,4,19,0,0,0,0,0,0,0,0,0,14,0,0,7,1,0,0,0,1,0,38,0,16,3,19,0,3,1,2,0,0,7,118,40
JUL01,Juvenile,Male,0,1,0,0,0,0,1,109,4,49,8,48,20,3,17,22,10,12,8,0,0,0,8,160,442,163,162,1,72,207,5,331,151,660,23,313,169,155,22,1,1,9,0,11,69,14,25,30,0,1680,148,0,70,7,7,64,0,0,0,0,0,0,0,0,0,37,0,0,58,32,0,3,3,26,0,123,0,44,23,56,0,22,5,16,1,0,25,445,41
JUL01,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
AUG01,Adult,Female,2,2,0,0,1,0,1,125,2,41,14,68,4,0,4,7,5,2,12,1,0,0,11,152,101,78,74,4,5,18,2,80,57,386,19,250,32,85,397,0,34,167,0,196,103,16,24,60,3,1126,535,2,234,28,17,254,26,5,0,2,15,0,0,1,3,8,0,14,11,15,1,4,0,7,3,313,2,132,10,169,1,384,4,352,28,0,13,1320,43
AUG01,Adult,Male,10,9,5,0,2,0,2,619,41,299,41,238,171,34,137,56,21,35,105,15,2,25,63,970,859,480,449,31,152,227,14,705,316,1045,66,329,340,310,769,4,100,180,0,485,336,64,72,188,12,4044,1907,10,886,114,77,820,33,1,1,3,28,0,0,0,0,36,1,347,118,299,21,83,3,104,88,1340,13,584,16,727,7,2155,91,1729,334,1,66,6309,44
AUG01,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
