"Month Year","Homicide (Murder)","Other Homicide","Attempted Murder","Conspiracy to Murder","Manslaughter (excl. by driving)","Driving Causing Death","Manslaughter Unlawful Striking Causing Death","Assault","Grievous Assault","Serious Assault","Serious Assault (Other)","Common Assault'","Sexual Offences","Rape and Attempted Rape","Other Sexual Offences","Robbery","Armed Robbery","Unarmed Robbery","Other Offences Against the Person","Kidnapping & Abduction etc.","Extortion","Stalking","Life Endangering Acts","Offences Against the Person","Unlawful Entry","Unlawful Entry With Intent - Dwelling","Unlawful Entry Without Violence - Dwelling","Unlawful Entry With Violence - Dwelling","Unlawful Entry With Intent - Shop","Unlawful Entry With Intent - Other","Arson","Other Property Damage","Unlawful Use of Motor Vehicle","Other Theft (excl. Unlawful Entry)","Stealing from Dwellings","Shop Stealing","Vehicles (steal from/enter with intent)","Other Stealing","Fraud","Fraud by Computer","Fraud by Cheque","Fraud by Credit Card","Identity Fraud","Other Fraud","Handling Stolen Goods","Possess Property Suspected Stolen","Receiving Stolen Property","Possess etc. Tainted Property","Other Handling Stolen Goods","Offences Against Property","Drug Offences","Trafficking Drugs","Possess Drugs","Produce Drugs","Sell Supply Drugs","Other Drug Offences","Prostitution Offences","Found in Places Used for Purpose of Prostitution Offences","Have Interest in Premises Used for Prostitution Offences","Knowingly Participate in Provision Prostitution Offences","Public Soliciting","Procuring Prostitution","Permit Minor to be at a Place Used for Prostitution Offences","Advertising Prostitution","Other Prostitution Offences","Liquor (excl. Drunkenness)","Gaming Racing & Betting Offences","Breach Domestic Violence Protection Order","Trespassing and Vagrancy","Weapons Act Offences","Unlawful Possess Concealable Firearm","Unlawful Possess Firearm - Other","Bomb Possess and/or use of","Possess and/or use other weapons; restricted items","Weapons Act Offences - Other","Good Order Offences","Disobey Move-on Direction","Resist Incite Hinder Obstruct Police","Fare Evasion","Public Nuisance","Stock Related Offences","Traffic and Related Offences","Dangerous Operation of a Vehicle","Drink Driving","Disqualified Driving","Interfere with Mechanism of Motor Vehicle","Miscellaneous Offences","Other Offences"
JUN10,1,9,4,0,1,4,0,1458,73,658,117,610,388,93,295,165,73,92,272,17,2,43,210,2293,3450,1992,1953,39,374,1084,85,3244,672,7156,581,1529,2189,2857,1381,74,57,225,26,999,348,115,52,175,6,16336,3341,15,1571,103,172,1480,38,12,1,23,0,0,0,0,2,542,0,680,326,246,10,20,4,165,47,3719,103,1406,187,2023,46,3363,105,2443,811,4,187,12488
JUL10,5,10,6,0,0,4,0,1420,79,669,106,566,555,146,409,158,73,85,292,30,7,64,191,2440,3225,1894,1841,53,317,1014,105,3731,692,7171,635,1314,2225,2997,2268,66,54,265,39,1844,432,142,54,227,9,17624,3652,21,1700,120,194,1617,20,5,0,13,2,0,0,0,0,674,0,722,328,303,12,49,4,191,47,4040,94,1533,190,2223,67,3530,130,2552,845,3,204,13540
AUG10,3,2,1,0,0,1,0,1575,59,690,147,679,526,117,409,141,70,71,353,26,5,57,265,2600,3401,1914,1886,28,378,1109,78,3315,701,7804,702,1400,2361,3341,2615,1424,58,262,40,831,496,102,181,202,11,18410,4141,19,1940,180,112,1890,16,2,0,9,3,1,0,0,1,564,0,786,370,293,14,39,8,176,56,4001,73,1535,204,2189,59,3375,135,2421,816,3,204,13809
SEP10,2,6,4,0,0,2,0,1485,72,694,136,583,423,100,323,138,61,77,302,28,5,67,202,2356,3304,1919,1890,29,290,1095,109,3661,729,7979,745,1387,2569,3278,1553,190,50,191,74,1048,352,106,43,195,8,17687,3840,36,1794,147,179,1684,27,2,0,14,5,0,0,1,5,525,0,837,322,281,15,41,2,166,57,3965,107,1536,200,2122,47,3120,104,2228,785,3,161,13125
OCT10,4,4,2,0,1,1,0,1699,70,742,180,707,478,127,351,145,61,84,314,31,4,47,232,2644,3660,2142,2094,48,392,1126,103,3675,854,8394,781,1415,2669,3529,1174,118,91,209,56,700,417,131,51,229,6,18277,3571,23,1652,138,176,1582,33,2,4,20,4,0,0,0,3,656,0,839,315,267,7,41,0,185,34,4022,91,1492,231,2208,54,3530,137,2533,859,1,200,13487
NOV10,5,5,4,0,0,1,0,1633,78,761,170,624,457,132,325,127,55,72,280,14,3,51,212,2507,3733,2147,2092,55,366,1220,109,3924,833,8387,802,1374,2421,3790,1252,84,87,219,40,822,388,151,70,151,16,18626,3610,44,1597,154,181,1634,20,2,2,11,1,0,0,0,4,520,0,803,345,281,5,46,6,167,57,4051,105,1449,196,2301,45,3312,120,2417,774,1,196,13183
DEC10,8,5,3,0,1,1,0,1614,78,712,160,664,338,116,222,131,59,72,283,21,4,42,216,2379,3639,2083,2037,46,450,1106,80,3470,742,7970,744,1414,2360,3452,1145,73,28,237,39,768,337,110,45,177,5,17383,3167,26,1449,137,118,1437,5,0,0,3,2,0,0,0,0,654,0,956,300,288,10,47,0,183,48,4333,113,1550,179,2491,16,3238,101,2402,733,2,188,13145
JAN11,3,10,8,0,1,1,0,1629,93,739,167,630,472,152,320,142,54,88,240,17,3,53,167,2496,3780,2199,2148,51,434,1147,88,3352,716,7604,747,1153,2389,3315,678,71,17,146,14,430,304,106,28,157,13,16522,3060,18,1475,97,124,1346,4,0,0,3,1,0,0,0,0,611,0,912,326,270,8,36,1,170,55,4116,98,1468,170,2380,16,3044,107,2329,605,3,176,12535
FEB11,3,1,1,0,0,0,0,1584,78,770,135,601,420,92,328,138,70,68,333,21,5,63,244,2479,3522,2020,1966,54,364,1138,88,2909,776,7291,641,1143,2166,3341,1063,66,43,255,18,681,367,129,42,183,13,16016,3435,26,1591,125,206,1487,9,2,0,2,3,0,0,1,1,504,0,826,340,258,12,38,1,167,40,3482,97,1254,179,1952,52,2805,78,2111,616,0,149,11860
MAR11,3,16,12,0,0,4,0,1861,78,816,191,776,436,116,320,147,74,73,361,23,3,57,278,2824,3797,2176,2109,66,350,1271,101,3477,976,9504,761,1373,3418,3952,1285,78,57,303,32,815,385,112,56,208,9,19525,3776,19,1724,180,150,1703,19,0,0,8,10,0,0,0,1,631,0,960,376,308,7,47,0,196,58,4095,103,1524,197,2271,50,2925,101,2219,599,6,192,13332
